session_id,hit_date,hit_time,hit_number,hit_type,hit_referer,hit_page_path,event_category,event_action,event_label,event_value
1945627655676404094.1640276355.1640276355,2021-12-23,197.0,4,event,,sberauto.com/cars/all/porsche/911/f149c91b?rental_page=rental_car#no_mobile&utm_source=facebook&utm_medium=cpc&utm_campaign_initial=yKpfDUhvBGiCyZJUYIhx&fbclid=iwar1xchcq6s8lrddx4edywhssq-odvkawpazwdmvuwq4bjqixvd8ih2rhs1o,card_web,view_card,,
4555345648396008371.1640233907.1640233907,2021-12-23,107.0,4,event,trXmoxcphNjuYcShOXwL,sberauto.com/cars/all/nissan/qashqai/bfc21661?rental_page=rental_car&fbclid=iwar32rynt41plrrcjymt9qtcjheepwkwx-m05mmiqf7axkagmropyqj8acpu,card_web,view_card,,
5636135307570360848.1640280592.1640280592,2021-12-23,12.0,3,event,,sberauto.com/cars/all/renault/duster/145d53f1?rental_page=rental_car?utm_source=mediatoday,card_web,view_card,,
6993187768713388524.1640276467.1640276467,2021-12-23,1186.0,4,event,,sberauto.com/cars/all/porsche/911/f149c91b?rental_page=rental_car#no_mobile&utm_source=facebook&utm_medium=cpc&utm_campaign_initial=SsNBzwDJfUmTkvZdJYwh&fbclid=iwar0dsqqzlig3bw5fxv0hzmz9tiymjv9izo6inphw3oigujosf7g4l1n2yy8,card_web,view_card,,
9063469723165129646.1640233902.1640233902,2021-12-23,68.0,3,event,uMnMdxLOIznakHyXLoMC,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=iwar2hhjsuxp5qruhrg5dhfsflc8rj2pxgq5n11xfrdeflcvgecpmf1ungage,card_web,view_card,,
9221311837172398962.1640233841.1640233841,2021-12-23,506.0,3,event,trXmoxcphNjuYcShOXwL,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=iwar2jcprsn3mcjxwnbsovyrkdmlbcftd4e_gqgwqsxveruv_nex9yqonpzqy,card_web,view_card,,
8279923128365523547.1640276571.1640276571,2021-12-23,1024.0,3,event,uMnMdxLOIznakHyXLoMC,sberauto.com/cars/all/porsche/911/f149c91b?rental_page=rental_car#no_mobile&utm_source=facebook&utm_medium=cpc&utm_campaign_initial=SsNBzwDJfUmTkvZdJYwh&fbclid=iwar1b-jkn1wx7jl_7ci829auvqpbeu19aqvd_awb09j1dwl-f8nwh5vtmgkq,card_web,view_card,,
9126144797936188300.1640233869.1640233869,2021-12-23,488.0,3,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=iwar2espo0shirj4geaqcsee7dbjuzoknqaanorlecxyqn4velsmu8ngjol-0,card_web,view_card,,
1333511261702627793.1640276433.1640276433,2021-12-23,5618.0,6,event,,sberauto.com/cars/all/porsche/911/f149c91b?rental_page=rental_car#no_mobile&utm_source=facebook&utm_medium=cpc&utm_campaign_initial=OrLYsUIlmiHOxKjBFasy&fbclid=iwar2hndaqwgob03zwpwhyqdb7rnxxlkp97sfjl6xfnsfe0iiq_lwq7-vypla,card_web,view_card,,
699466478407410560.1640289549.1640289549,2021-12-23,20.0,6,event,,sberauto.com/cars/all/peugeot/traveller/4c1dd8b7?utm_source_initial=google&utm_medium_initial=cpc&utm_campaign_initial=XHNUiSKKGTEpSAlaVMFQ|IogmZDrCkJeHXbgMnIIv&utm_content_initial=yXzSAJWSuRbYeLFyMVFl|YAMPmNsXaFeZWgexOKLv|xAEYTlJDbQNwQTLGxICQ|AkWQyPNqWZSACoyftGqo|lFpAoUqEvHoyZfCNRuCR|QTkdoNfmEYDQUpBDLlLV|dtYJKUplNmmKCOfiziff|wtdAydPFeYlxHioycsEq|aHSPdWXGkJravzWuwcJA|HbolMJUevblAbkHClEQa|kqZPVvZmXADsCZxIQwbv|QaGunexmXrztCWbLcYxs|OfdDOXSwHYclonQJpPxh|nXdiaMYGuoSkKGqBAgaB|HbolMJUevblAbkHClEQa&utm_term_initial=&rental_page=rental_car,card_web,view_card,,
951771360093549217.1640247969.1640247969,2021-12-23,53.0,3,event,,client.saptest.sberauto-team.com/cars/all/mercedes-benz/glb/4273ed1b?rental_page=rental_car,card_web,view_card,,
8052362820286977556.1640273512.1640273512,2021-12-23,1032.0,5,event,QDnrErJRERbRmvEHvwWY,sberauto.com/cars/all/bmw/5-serii/eb5698f6?utm_source_initial=telegram&utm_medium_initial=blogger_channel&utm_campaign_initial=foFTSdUvNqqkPzZvgiqt&utm_content_initial=DZYjhfIUfdqhfuTNUmjn&rental_page=rental_car,card_web,view_card,,
3117547552978670057.1640217454.1640217454,2021-12-23,65.0,2,event,,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=paaaawyzff1u-yvrmvepst9p6dwicbfehszxj-o9-7nrcfg33xccg3phkxpxg&external_browser_redirect=true,card_web,view_card,,
3117547552978670057.1640217454.1640217454,2021-12-23,1032.0,5,event,,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=paaaawyzff1u-yvrmvepst9p6dwicbfehszxj-o9-7nrcfg33xccg3phkxpxg&external_browser_redirect=true,card_web,view_card,,
3320172427694312697.1640238331.1640238331,2021-12-23,930.0,7,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaabz21desxnoh38nqpmegihzr-mk1ej4vjoki1bk8tgjzrvgc3cwe5gagay&external_browser_redirect=true,card_web,view_card,,
7074391959464573938.1640233969.1640233969,2021-12-23,117.0,6,event,trXmoxcphNjuYcShOXwL,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=iwar2suhpg94grco1k0bmco4jzrhihtrvsuyvr4btp5iaodykillxnqdlr5kc,card_web,view_card,,
303140863566137965.1640221595.1640221595,2021-12-23,52.0,2,event,,sberauto.com/cars/all/volkswagen/polo/e994838f?utm_source_initial=yandex&utm_medium_initial=cpc&utm_campaign_initial=nSReTmyFtbSjlPrTKoaX|fVHJqnfOFSWcsCBViJGr&utm_content_initial=yXzSAJWSuRbYeLFyMVFl|YjagTPsykUtMSrHgFPJc|xAEYTlJDbQNwQTLGxICQ|dwfnIkMEwJhmnyojmAoc|lFpAoUqEvHoyZfCNRuCR|nCFNEpzHTPkEkHrVLCIO|rjbbNGNkjGThUJNtsWZQ|EWYEpjHvCoEBpaqHZyxI|ZIKCVYXYgRrZdwlVkEEf|HbolMJUevblAbkHClEQa|kqZPVvZmXADsCZxIQwbv|vnTlRpYmthtVDImMLSmr|OfdDOXSwHYclonQJpPxh|igNLAJodDHSgqhPwufun|HbolMJUevblAbkHClEQa&utm_term_initial=&rental_page=rental_car,card_web,view_card,,
428566905180426249.1640271881.1640271881,2021-12-23,3349.0,7,event,,sberauto.com/cars/all/nissan/x-trail/0744675f?rental_page=rental_car#utm_source=vkontakte&utm_medium=cpc&utm_campaign=sberautopodpiska_dec21_frk_person_202105000091_img_int_traffic_low_x-trail2,card_web,view_card,,
1134415621745059679.1640277868.1640277868,2021-12-23,209.0,2,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaaabht6prrigz9pvcaqydvo3qu-ziin94uqyjjplfhif6xjijzfhqyy5ir8&external_browser_redirect=true,card_web,view_card,,
2398547126864026107.1640208903.1640208903,2021-12-23,219.0,2,event,,sberauto.com/cars/all/mercedes-benz/e-klasse/d48351ad?rental_page=rental_car&fbclid=iwar0v7mfpm9ct4truzlzkmtxqglanryeltexxbryaofxucfclv-s0qyghmgi_aem_at-3nmppzs2s_i_5yyd4zazlofwlrtiykchvw9qyxf5anggbdachpp07vi-ikeis1jihdzd4b2lo-63uczn8kee724s2x-5qcmt0izszbt6kjwleli1bp42khtiufpjf30m,card_web,view_card,,
2780191474040742626.1640276710.1640276710,2021-12-23,2200.0,7,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaabq7dlkkjg5x0jz795h5bplj9ghjabqrq3vtszxjezjg3z7dmzh3_f2sd8&external_browser_redirect=true,card_web,view_card,,
3282323002617677961.1640266499.1640266499,2021-12-23,252.0,4,event,,sberauto.com/cars/all/lada-vaz/vesta/2fc745ed?rental_page=rental_car&fbclid=paaazbrlfggvkdgladdqukxuklgnbvaod7cjnx_f8bkiacufv07qollefabis,card_web,view_card,,
3282323002617677961.1640266499.1640266499,2021-12-23,677.0,7,event,,sberauto.com/cars/all/lada-vaz/vesta/2fc745ed?rental_page=rental_car&fbclid=paaazbrlfggvkdgladdqukxuklgnbvaod7cjnx_f8bkiacufv07qollefabis,card_web,view_card,,
3510833950178461152.1640285664.1640285664,2021-12-23,98.0,2,event,,sberauto.com/cars/all/volkswagen/polo/e994838f?rental_page=rental_car+&fbclid=paaaynlophyjs2ghiqpmhi1xn-txemptqgdq_tc2f31cr75iwt2k6esspmcey&external_browser_redirect=true,card_web,view_card,,
5660494519526161065.1640262729.1640262729,2021-12-23,2801.0,5,event,,sberauto.com/cars/all/mercedes-benz/s-klasse/7a3f9330?utm_source_initial=sbol&utm_medium_initial=banner&utm_campaign_initial=SgIUDYUKnyWHVowUOqid&rental_page=rental_car,card_web,view_card,,
7297963608724757734.1640258793.1640258793,2021-12-23,2886.0,5,event,,sberauto.com/cars/all/mercedes-benz/e-klasse/d48351ad?rental_page=rental_car,card_web,view_card,,
9067439204954546753.1640243777.1640243777,2021-12-23,830.0,5,event,,sberauto.com/cars/all/porsche/cayenne/6f690f60?rental_page=rental_car#utm_source=google&utm_medium=cpc&utm_campaign_initial=RzLAoRYmCtVATSoPvWAQ|rpXJcKibLtmQWKejaehw&utm_content_initial=yXzSAJWSuRbYeLFyMVFl|wbYDXcjzHrBaiBceUCPK|xAEYTlJDbQNwQTLGxICQ|lFpAoUqEvHoyZfCNRuCR|dtYJKUplNmmKCOfiziff|aHSPdWXGkJravzWuwcJA|HbolMJUevblAbkHClEQa|kqZPVvZmXADsCZxIQwbv|QaGunexmXrztCWbLcYxs|OfdDOXSwHYclonQJpPxh|VghAmCgWGvFwYHZnFmXi|HbolMJUevblAbkHClEQa&utm_term=аренда порше в москве,card_web,view_card,,
543823456375193331.1640283824.1640283824,2021-12-23,1260.0,5,event,,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=paaabgvcfn48qiwlyumssyxg09oi5qifyurmp6zigl9rtr6vd1dlh-dhh2r1m&external_browser_redirect=true,card_web,view_card,,
562366956183957396.1640246520.1640246520,2021-12-23,335.0,3,event,,sberauto.com/cars/all/mini/hatch/b82590a3?rental_page=rental_car,card_web,view_card,,
562366956183957396.1640246520.1640246520,2021-12-23,724.0,7,event,,sberauto.com/cars/all/mini/hatch/b82590a3?rental_page=rental_car,card_web,view_card,,
603010644039738165.1640276791.1640276791,2021-12-23,246.0,3,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaaz5geccq7emitr8uxgceqjgjgc37wt_m0euxxmmph-vwt2sjq_jshbvbsy&external_browser_redirect=true,card_web,view_card,,
628849304731384746.1640233987.1640233987,2021-12-23,972.0,3,event,trXmoxcphNjuYcShOXwL,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=iwar3cka13gdb0tyx-8d3tsa2n55xszpyaxtemzgvnodvsqdosnomzvanhbus,card_web,view_card,,
628849304731384746.1640233987.1640233987,2021-12-23,1090.0,5,event,trXmoxcphNjuYcShOXwL,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=iwar3cka13gdb0tyx-8d3tsa2n55xszpyaxtemzgvnodvsqdosnomzvanhbus,card_web,view_card,,
1129652168006181114.1640214275.1640214275,2021-12-23,642.0,3,event,,sberauto.com/cars/all/skoda/rapid/bf24b977?utm_source_initial=facebook&utm_medium_initial=cpc&utm_campaign_initial=LwXiYdXdqypmXPvaqiGJ&rental_page=rental_car,card_web,view_card,,
1196766963356182278.1640277767.1640277767,2021-12-23,2025.0,7,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaaazbyd7uae5wr4sn458verluzl8ddudnq-4ne10ryhyxzosepydxobx17w&external_browser_redirect=true,card_web,view_card,,
1142657019740975472.1640264047.1640264047,2021-12-23,20.0,4,event,,sberauto.com/cars/all/volkswagen/polo/e994838f?rental_page=rental_car&fbclid=paaay20ywwmgd_w2lfk5rtbfpbtxex5zklnftrgjbmwhnecr5gr7a0gixgkng_aem_awijcqpmiza0ltb5fd66tzna-7vamias6sgkzje45rgpgksuliuwwjok0vjkpzddx-6o00jafgiicxrlldk51pg7yg34rhheu29uwc-wlgkhnvlxtidppavtdd5qfxtzxmu,card_web,view_card,,
1299003862356012484.1640250191.1640250191,2021-12-23,368.0,7,event,CqGkajCZmVSQVVJUrbUz,sberauto.com/cars/all/porsche/cayenne/6f690f60?utm_referrer_initial=KFbagfnOxFaQKAmSviQq&rental_page=rental_only&rental_page=rental_car,card_web,view_card,,
1668197460121763837.1640251389.1640251389,2021-12-23,203.0,3,event,,sberauto.com/cars/all/renault/duster/145d53f1?rental_page=rental_car,card_web,view_card,,
1613857490943081433.1640233948.1640233948,2021-12-23,251.0,3,event,,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=iwar20ijt7ireuoyjap68mds_lnumwbvq5nlwj5ktii7axs4ostg1pitcxarg,card_web,view_card,,
1887216418278309519.1640228880.1640228880,2021-12-23,266.0,5,event,,sberauto.com/cars/all/kia/sorento/c38179cb?rental_page=rental_car,card_web,view_card,,
1870409292126143404.1640285100.1640285100,2021-12-23,2740.0,7,event,,sberauto.com/cars/all/volkswagen/polo/e994838f?rental_page=rental_car+&fbclid=paaaztb6zehenf5ncy5cuvhjbpslwwfnv0qpm6czjrxbs2-rl9sjhjav0yqmq&external_browser_redirect=true,card_web,view_card,,
2160026315649201869.1640257764.1640257764,2021-12-23,48.0,3,event,,sberauto.com/cars/all/volkswagen/polo/e994838f?utm_source_initial=sbol&utm_medium_initial=push&utm_campaign_initial=sbJRYgVfvcnqKJNDDYIr&rental_page=rental_car,card_web,view_card,,
2388935544106392148.1640241749.1640241749,2021-12-23,2684.0,3,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaabrva8lgibuim1pp2fzicmcfj9xkvrgtsvji4vrdk-xeornho1lybtns3m_aem_azoynvr42bmptyox70y_edtdxqikuctfk8fiuzwf8qisgszixlbafwmjcevn-ozemhnp6prkp4whj8-izs8uo-i93-cjpigb9dv4vwprcwvoynq42x7rhodnmdypszimz0c,card_web,view_card,,
7849724274691805034.1640244142.1640244142,2021-12-23,703.0,5,event,,sberauto.com/cars/all/mercedes-benz/e-klasse/d48351ad?rental_page=rental_car,card_web,view_card,,
7878108987701476473.1640252305.1640252305,2021-12-23,1832.0,3,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaazeoka4os63kusatzu_d-6jnreyioiahumb0q2r4_mu3nzkpwml7nxq3u0&external_browser_redirect=true,card_web,view_card,,
8235932625915871114.1640234891.1640234891,2021-12-23,2283.0,5,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaabjfzct5ikorr1culuclwuewgxyquyqpq6ysjzagd6sbmrj7r9lcyj_7vs,card_web,view_card,,
8257315017519798610.1640242146.1640242146,2021-12-23,2198.0,7,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?utm_source_initial=google&utm_medium_initial=cpc&utm_campaign_initial=XHNUiSKKGTEpSAlaVMFQ|IogmZDrCkJeHXbgMnIIv&utm_content_initial=yXzSAJWSuRbYeLFyMVFl|YAMPmNsXaFeZWgexOKLv|xAEYTlJDbQNwQTLGxICQ|AkWQyPNqWZSACoyftGqo|lFpAoUqEvHoyZfCNRuCR|QTkdoNfmEYDQUpBDLlLV|dtYJKUplNmmKCOfiziff|wtdAydPFeYlxHioycsEq|aHSPdWXGkJravzWuwcJA|HbolMJUevblAbkHClEQa|kqZPVvZmXADsCZxIQwbv|QaGunexmXrztCWbLcYxs|OfdDOXSwHYclonQJpPxh|zzqmLVyalSXvuzexKnUV|HbolMJUevblAbkHClEQa&utm_term_initial=&rental_page=rental_car,card_web,view_card,,
8273765764465523579.1640247124.1640247124,2021-12-23,142.0,4,event,,sberauto.com/cars/all/mercedes-benz/e-klasse/d48351ad?rental_page=rental_car,card_web,view_card,,
2755966226403701630.1640248190.1640248190,2021-12-23,194.0,5,event,trXmoxcphNjuYcShOXwL,sberauto.com/cars/all/volkswagen/polo/e994838f?rental_page=rental_car+&fbclid=iwar0qq0oukrawf62twcyzuyce-9z2ibh5qtdfxdqpl8gmv9hxaupcbwyibie,card_web,view_card,,
2761064425598456408.1640244686.1640244686,2021-12-23,1849.0,7,event,,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=paaab5erevtmfnearkkrdkxarz5rvxpvjay_ko2jifjheydfry0wmvoiy8ih0&external_browser_redirect=true,card_web,view_card,,
2530706414478031710.1640233887.1640233887,2021-12-23,32.0,3,event,trXmoxcphNjuYcShOXwL,sberauto.com/cars/all/nissan/qashqai/bfc21661?rental_page=rental_car&fbclid=iwar0jamhkqx1btw-fgmebgdstk1dz3fnc0prafj6qjdo9jefd6pchbl-uo2y,card_web,view_card,,
2530706414478031710.1640233887.1640233887,2021-12-23,1690.0,5,event,trXmoxcphNjuYcShOXwL,sberauto.com/cars/all/nissan/qashqai/bfc21661?rental_page=rental_car&fbclid=iwar0jamhkqx1btw-fgmebgdstk1dz3fnc0prafj6qjdo9jefd6pchbl-uo2y,card_web,view_card,,
2565335095108149452.1640233946.1640233946,2021-12-23,648.0,3,event,,sberauto.com/cars/all/kia/seltos/20f30855?utm_source_initial=google&utm_medium_initial=cpc&utm_campaign_initial=jvsVVQVKRfBIqBDBuCkq|nyJQufAIRtHFpfdZHSnK&utm_content_initial=yXzSAJWSuRbYeLFyMVFl|vFJYCsaLubDpnYloeEEP|xAEYTlJDbQNwQTLGxICQ|ihzSLoPCnXFXviyXtUhk|lFpAoUqEvHoyZfCNRuCR|RwOPMHQvcpoxYVZosxSX|dtYJKUplNmmKCOfiziff|MNnfNbngYIuaGdDeRmPm|aHSPdWXGkJravzWuwcJA|HbolMJUevblAbkHClEQa|kqZPVvZmXADsCZxIQwbv|QaGunexmXrztCWbLcYxs|OfdDOXSwHYclonQJpPxh|aKpdgMPHrBtgmCgKDxCp|HbolMJUevblAbkHClEQa&utm_term_initial=&rental_page=rental_car,card_web,view_card,,
2565335095108149452.1640233946.1640233946,2021-12-23,2218.0,7,event,,sberauto.com/cars/all/kia/seltos/20f30855?utm_source_initial=google&utm_medium_initial=cpc&utm_campaign_initial=jvsVVQVKRfBIqBDBuCkq|nyJQufAIRtHFpfdZHSnK&utm_content_initial=yXzSAJWSuRbYeLFyMVFl|vFJYCsaLubDpnYloeEEP|xAEYTlJDbQNwQTLGxICQ|ihzSLoPCnXFXviyXtUhk|lFpAoUqEvHoyZfCNRuCR|RwOPMHQvcpoxYVZosxSX|dtYJKUplNmmKCOfiziff|MNnfNbngYIuaGdDeRmPm|aHSPdWXGkJravzWuwcJA|HbolMJUevblAbkHClEQa|kqZPVvZmXADsCZxIQwbv|QaGunexmXrztCWbLcYxs|OfdDOXSwHYclonQJpPxh|aKpdgMPHrBtgmCgKDxCp|HbolMJUevblAbkHClEQa&utm_term_initial=&rental_page=rental_car,card_web,view_card,,
3129343422960499551.1640233822.1640233822,2021-12-23,64.0,3,event,trXmoxcphNjuYcShOXwL,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=iwar17fbd2byytqlokkf-yaid4amxfulwmd22fjlstyk0f_m2a3kqphhbe9_8,card_web,view_card,,
2877834445958965330.1640261713.1640261713,2021-12-23,1.0,3,event,,sberauto.com/cars/all/haval/jolion/4930b1ba?rental_page=rental_car,card_web,view_card,,
3806145018004105779.1640262367.1640262367,2021-12-23,46.0,5,event,,sberauto.com/cars/all/toyota/camry/f28947a1?utm_source_initial=sbol&utm_medium_initial=push&utm_campaign_initial=sbJRYgVfvcnqKJNDDYIr&rental_page=rental_car,card_web,view_card,,
3935978043956567458.1640275363.1640275363,2021-12-23,1770.0,5,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaaysnu2s2tuzzj7plykaio0chcartmagknuncbzlwnnjtjt6lqe2ribqrta&external_browser_redirect=true,card_web,view_card,,
528657531716007233.1640264891.1640264891,2021-12-23,279.0,3,event,,podpiska.sberauto.com/?yclid=7645190563903103343,sub_page_view,sub_landing,,
3454191152679649419.1640267922.1640267922,2021-12-23,51.0,5,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaaztapggqk_8vt-kfvzk2rqoohxsqzaotusoziwlijx7eqs-uk96kzcqz5i_aem_awin9oigmmb2hdeoxik_loco9gibmq5zwqug1yqt-gqowfxufh0cyalbb8vayjyk9ubx4s5zep16zijcemgj7deb0kpjb_uszyml3ss3vhw1xu5bk-j_p40j_eevkhmxpig,card_web,view_card,,
3458465624391703169.1640277781.1640277781,2021-12-23,1226.0,5,event,zxPaddltVsJZegslUWyX,sberauto.com/cars/all/haval/jolion/4930b1ba?utm_source_initial=dzen&utm_medium_initial=cpc&utm_campaign_initial=okTXSMadDkjvntEHzIjp&utm_content_initial=LLfCasrxQzJIyuldcuWy&utm_term_initial=aXQzDWsJuGXeBXexNHjc&utm_referrer_initial=zxPaddltVsJZegslUWyX&rental_page=rental_car,card_web,view_card,,
3964707097379313128.1640208269.1640208269,2021-12-23,1482.0,7,event,,sberauto.com/cars/all/skoda/rapid/bf24b977?rental_page=rental_car&fbclid=paaayxkxw2u6okpcg4uppry2znhj_jtfvakulgtwuyr6cbo4q625mxegiqvmg&external_browser_redirect=true,card_web,view_card,,
3969214562477291019.1640248843.1640248843,2021-12-23,644.0,7,event,,sberauto.com/cars/all/renault/logan/8c3c73f2?rental_page=rental_car&fbclid=paaazudf1_d5kgxassaoprhm30eonbizarylbh0gclfrubaiuiwvbkpxk365y&external_browser_redirect=true,card_web,view_card,,
