session_id,client_id,visit_date,visit_time,visit_number,utm_source,utm_medium,utm_campaign,utm_adcontent,utm_keyword,device_category,device_os,device_brand,device_model,device_screen_resolution,device_browser,geo_country,geo_city
9055487268745225369.1637983385.1637983385,2108394929.1637983385,2021-11-27,06:23:05,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,vCIpmpaGBnIQhyYNkXqp,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,,320x568,Safari,Russia,Saint Petersburg
9055487955932503299.1630493885.1630493885,2108395089.1630493955,2021-09-01,13:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,gecBYcKZCPMcVYdSSzKP,JNHcPlZPxEMWDnRiyoBf,,mobile,,Xiaomi,,393x786,Chrome,Russia,Mytishchi
9055488359664698205.1635763037.1635763037,2108395183.1635763037,2021-11-01,13:37:17,1,ZpYIoDJMcFzVoPFsHGJL,banner,gecBYcKZCPMcVYdSSzKP,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,,320x693,Safari,Russia,(not set)
9055491722626447422.1638119489.1638119489,2108395966.1638119486,2021-11-28,20:11:29,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,vCIpmpaGBnIQhyYNkXqp,puhZPIYqKXeFPaUviSjo,mobile,Android,Huawei,,360x780,Chrome,Russia,Saint Petersburg
9055496369776380607.1633438303.1633438303,2108397048.1633438399,2021-10-05,15:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,gecBYcKZCPMcVYdSSzKP,JNHcPlZPxEMWDnRiyoBf,,mobile,,Samsung,,412x915,Chrome,Russia,Novorossiysk
9055497958914887309.1634045644.1634045644,2108397418.1634045581,2021-10-12,16:00:00,1,MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,xhoenQgDQsgfEPYNPwKO,,mobile,,Xiaomi,,393x851,Chrome,Russia,Moscow
9055497958914887309.1634046980.1634046980,2108397418.1634045581,2021-10-12,16:00:00,2,MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,xhoenQgDQsgfEPYNPwKO,,mobile,,Xiaomi,,393x851,Chrome,Russia,Moscow
9055497958914887309.1634048072.1634048072,2108397418.1634045581,2021-10-12,17:00:00,3,MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,xhoenQgDQsgfEPYNPwKO,,mobile,,Xiaomi,,393x851,Chrome,Russia,Moscow
9055497958914887309.1634223619.1634223619,2108397418.1634045581,2021-10-14,18:00:00,4,MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,xhoenQgDQsgfEPYNPwKO,,mobile,,Xiaomi,,393x851,Chrome,Russia,Moscow
9055497958914887309.1634224644.1634224644,2108397418.1634045581,2021-10-14,18:00:00,5,MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,xhoenQgDQsgfEPYNPwKO,,mobile,,Xiaomi,,393x851,Chrome,Russia,Moscow
9055502451440915696.1624282352.1624282352,2108398464.1624282352,2021-06-21,16:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,eimRuUrNhZLAYcwRrNXu,JNHcPlZPxEMWDnRiyoBf,,mobile,,Samsung,,384x854,Chrome,Russia,Moscow
9055504865227535872.1639282176.1639282176,2108399026.1639282176,2021-12-12,07:09:36,1,BHcvLfOaCWvWTykYqHVe,cpc,,,okTXSMadDkjvntEHzIjp,mobile,Android,Samsung,,385x854,Chrome,Russia,Moscow
9055505230298952295.1638478433.1638478433,2108399111.1638478439,2021-12-02,23:53:53,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,desktop,Windows,,,1536x864,Chrome,Russia,Balashikha
9055507072827135870.1625692029.1625692029,2108399540.1625692030,2021-07-08,00:00:00,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,mobile,,Xiaomi,,393x699,Chrome,Russia,Pushkino
9055507072827135870.1625694582.1625694582,2108399540.1625692030,2021-07-08,00:00:00,2,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,mobile,,Xiaomi,,393x699,Chrome,Russia,Pushkino
9055507467976770564.1638335492.1638335492,2108399632.1638335492,2021-12-01,08:11:32,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,,393x851,Chrome,Russia,Saint Petersburg
9055511191703531814.1628451110.1628451110,2108400499.1628451110,2021-08-08,22:00:00,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,tablet,,Apple,,375x667,Safari (in-app),Russia,Moscow
9055511191703531814.1628451239.1628451239,2108400499.1628451110,2021-08-08,22:00:00,2,klTrhUaShgnjIbaPmqjc,referral,LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,tablet,,Apple,,375x667,Safari (in-app),Russia,Moscow
90555135045918912.1627381953.1627381953,21084010.1627381952,2021-07-27,13:00:00,1,ghoaGAksqhKomdFrxgyJ,cpm,FTjNLDyTrXaWYgZymFkV,NhvfEqcSTGEZKxxvUZlj,,mobile,,Apple,,375x812,Safari (in-app),Russia,Vladivostok
9055516878233619147.1621838541.1621838541,2108401823.1621838539,2021-05-24,09:00:00,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,mobile,,Xiaomi,,393x851,Chrome,Russia,Alexandrov
9055525588441989124.1636532229.1636532229,2108403851.1636532228,2021-11-10,11:17:09,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,,412x892,Chrome,Russia,Astrakhan
905553874150070422.1639028885.1639028885,210840691.1639028886,2021-12-09,08:48:05,1,kjsLglQLzykiRbcDiGcD,cpc,LwJZxKuWmvOhPsaCeRjG,,cdPAGAvKeBGoqAkQBuGR,mobile,iOS,Apple,,375x812,Safari,Russia,Moscow
905553874150070422.1639028922.1639028922,210840691.1639028886,2021-12-09,08:48:42,2,kjsLglQLzykiRbcDiGcD,cpc,,,cdPAGAvKeBGoqAkQBuGR,mobile,iOS,Apple,,375x812,Safari,Russia,Moscow
905553874150070422.1639041598.1639041598,210840691.1639028886,2021-12-09,12:19:58,4,kjsLglQLzykiRbcDiGcD,cpc,LwJZxKuWmvOhPsaCeRjG,,cdPAGAvKeBGoqAkQBuGR,mobile,iOS,Apple,,375x812,Safari,Russia,Moscow
905553874150070422.1639045262.1639045262,210840691.1639028886,2021-12-09,13:21:02,5,kjsLglQLzykiRbcDiGcD,cpc,LwJZxKuWmvOhPsaCeRjG,,cdPAGAvKeBGoqAkQBuGR,mobile,iOS,Apple,,375x812,Safari,Russia,Moscow
905553874150070422.1639045289.1639045289,210840691.1639028886,2021-12-09,13:21:29,6,kjsLglQLzykiRbcDiGcD,cpc,,,cdPAGAvKeBGoqAkQBuGR,mobile,iOS,Apple,,375x812,Safari,Russia,Moscow
9055541209241593296.1640080849.1640080849,2108407488.1640080848,2021-12-21,13:00:49,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,,393x851,Android Webview,Russia,Novorossiysk
9055545422600331470.1635901647.1635901647,2108408469.1635901646,2021-11-03,04:07:27,1,ZpYIoDJMcFzVoPFsHGJL,banner,gecBYcKZCPMcVYdSSzKP,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,,390x844,Safari,Russia,Vladivostok
9055547823488870585.1637722301.1637722301,2108409028.1637722297,2021-11-24,05:51:41,1,vFcAhRxLfOWKhvxjELkx,organic,okTXSMadDkjvntEHzIjp,LLfCasrxQzJIyuldcuWy,aXQzDWsJuGXeBXexNHjc,mobile,Android,Samsung,,412x892,Chrome,Russia,Saint Petersburg
9055561545897976496.1626317488.1626317488,2108412223.1626317488,2021-07-15,05:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,MXqmDyetMTICSSitTjWV,JNHcPlZPxEMWDnRiyoBf,,mobile,,Apple,,428x926,Safari,United States,Sunny Isles Beach
9055575581862286236.1637503909.1637503909,2108415491.1637503900,2021-11-21,17:11:49,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,,360x640,Chrome,Russia,Sochi
9055578871792078746.1622347676.1622347676,2108416257.1622347674,2021-05-30,07:00:00,1,kjsLglQLzykiRbcDiGcD,cpc,,XKsYZiUFcdkUXQpoLKyS,,mobile,,Huawei,,360x780,Opera,Russia,Saint Petersburg
9055589742366452530.1634495284.1634495284,2108418788.1634495282,2021-10-17,21:00:00,1,BHcvLfOaCWvWTykYqHVe,cpc,,,,mobile,,Samsung,,339x716,Chrome,Russia,Reutov
9055613119863310661.1624361292.1624361292,2108424231.1624361285,2021-06-22,14:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,eimRuUrNhZLAYcwRrNXu,JNHcPlZPxEMWDnRiyoBf,,mobile,,Xiaomi,,393x851,Chrome,Russia,Moscow
9055614631691441353.1624003785.1624003785,2108424583.1624003785,2021-06-18,11:00:00,1,QxAxdyPLuQMEcrdZWdWb,cpc,PXQWdUxeUoXfoKzTBGpY,,,mobile,,Apple,,390x844,Safari (in-app),Russia,Saint Petersburg
9055618140695379381.1639660981.1639660981,2108425400.1639660981,2021-12-16,16:23:01,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,vCIpmpaGBnIQhyYNkXqp,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,,414x896,Safari,Russia,Moscow
9055622186544872320.1629961087.1629961087,2108426342.1629961088,2021-08-26,09:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,,mobile,,Apple,,390x844,Safari,Russia,Moscow
9055627555247652641.1623621462.1623621462,2108427592.1623621409,2021-06-14,00:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,,mobile,,Vivo,,393x873,Chrome,Russia,Kazan
9055636922587188377.1639495415.1639495415,2108429773.1639484569,2021-12-14,18:23:35,1,ZpYIoDJMcFzVoPFsHGJL,banner,zxoiLxhuSIFrCeTLQVWZ,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,,360x800,Chrome,Russia,Ulyanovsk
9055645813163970503.1633963975.1633963975,2108431843.1633963975,2021-10-11,17:00:00,1,kjsLglQLzykiRbcDiGcD,cpc,nSReTmyFtbSjlPrTKoaX,JNHcPlZPxEMWDnRiyoBf,,mobile,,Apple,,390x844,Chrome,Russia,Moscow
9055645813163970503.1633964004.1633964004,2108431843.1633963975,2021-10-11,17:00:00,2,kjsLglQLzykiRbcDiGcD,cpc,,,,mobile,,Apple,,390x844,Chrome,Russia,Moscow
9055645813163970503.1633966342.1633966342,2108431843.1633963975,2021-10-11,18:00:00,3,kjsLglQLzykiRbcDiGcD,cpc,,,,mobile,,Apple,,390x844,Chrome,Russia,Moscow
9055651392319212104.1626688072.1626688072,2108433142.1626688072,2021-07-19,12:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,,mobile,,Apple,,375x812,Safari,Russia,Moscow
905565212864092591.1639389619.1639389619,210843331.1639389615,2021-12-13,13:00:19,1,ZpYIoDJMcFzVoPFsHGJL,banner,TmThBvoCcwkCZZUWACYq,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,,393x851,Chrome,Russia,Tula
905565212864092591.1639650867.1639650867,210843331.1639389615,2021-12-16,13:34:27,2,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,vCIpmpaGBnIQhyYNkXqp,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,,393x851,Chrome,Russia,Tula
905565212864092591.1639652819.1639652819,210843331.1639389615,2021-12-16,14:06:59,3,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,vCIpmpaGBnIQhyYNkXqp,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,,393x851,Chrome,Russia,Tula
9055656589238457290.1635504877.1635504877,2108434352.1635505098,2021-10-29,13:54:37,1,ZpYIoDJMcFzVoPFsHGJL,banner,gecBYcKZCPMcVYdSSzKP,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,Android,Meizu,qBRdfuuhOnnqwSqNiPOv,360x744,Chrome,Russia,Moscow
9055657327967035032.1629707931.1629707931,2108434524.1629707928,2021-08-23,11:00:00,1,nSReTmyFtbSjlPrTKoaX,banner,BVKxkCOHKUOvkpbrLMgZ,JNHcPlZPxEMWDnRiyoBf,,desktop,,,,1920x1080,YaBrowser,Russia,Moscow
905565977351442956.1622561294.1622561294,210843509.1622561292,2021-06-01,18:00:00,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,desktop,,,,1920x1080,Chrome,Russia,Moscow
905565998839028208.1635310063.1635310063,210843514.1635310064,2021-10-27,07:47:43,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,Android,OnePlus,AshpvdJdReafUzEMmWGr,384x832,Android Webview,Russia,Saint Petersburg
905565998839028208.1636951969.1636951969,210843514.1635310064,2021-11-15,07:52:49,2,ISrKoXQCxqqYvAZICvjs,smm,,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,Android,OnePlus,AshpvdJdReafUzEMmWGr,384x832,Android Webview,Russia,Saint Petersburg
9055678214400253418.1636965866.1636965866,2108439387.1636965866,2021-11-15,11:44:26,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,desktop,Windows,,,1920x1080,Chrome,Russia,Saint Petersburg
9055739606665511875.1639695437.1639695437,2108453681.1639695299,2021-12-17,01:57:17,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,vCIpmpaGBnIQhyYNkXqp,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,,360x760,Chrome,Russia,Krasnoyarsk
9055767446627239632.1623410384.1623410384,2108460163.1623410384,2021-06-11,14:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,,mobile,,Apple,,375x812,Safari,Russia,Saint Petersburg
9055768546153401681.1637944657.1637944657,2108460419.1637944657,2021-11-26,19:37:37,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,vCIpmpaGBnIQhyYNkXqp,puhZPIYqKXeFPaUviSjo,mobile,Android,Xiaomi,,393x851,Chrome,Russia,Yekaterinburg
9055768928391199041.1623652678.1623652678,2108460508.1623652673,2021-06-14,09:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,,mobile,,Huawei,,360x780,Chrome,Russia,Moscow
9055783466856748581.1624905132.1624905132,2108463893.1624905253,2021-06-28,21:00:00,1,hTjLvqNxGggkGnxSCaTm,stories,QEejXfOCtOMFLZqIPApp,JNHcPlZPxEMWDnRiyoBf,,mobile,,Samsung,,360x800,Android Webview,Russia,Rostov-on-Don
9055788191321875859.1626006934.1626006934,2108464993.1626006931,2021-07-11,15:00:00,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,desktop,,,,1280x720,Chrome,Russia,Moscow
9055788191321875859.1627377569.1627377569,2108464993.1626006931,2021-07-27,12:00:00,2,kjsLglQLzykiRbcDiGcD,cpc,nSReTmyFtbSjlPrTKoaX,JNHcPlZPxEMWDnRiyoBf,,desktop,,,,1920x1080,Chrome,Russia,Moscow
9055789093275396095.1636395007.1636395007,2108465203.1636395007,2021-11-08,21:10:07,1,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,,414x736,Safari,Russia,Samara
9055789093275396095.1636475873.1636475873,2108465203.1636395007,2021-11-09,19:37:53,2,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,,414x736,Safari,Russia,Samara
9055789874960974688.1637925730.1637925730,2108465385.1637925728,2021-11-26,14:22:10,1,MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,xhoenQgDQsgfEPYNPwKO,MBHgRPNeTcONuVFFXgmz,mobile,Android,Xiaomi,,360x720,Chrome,Russia,Moscow
9055794766915104430.1624305327.1624305327,2108466524.1624305326,2021-06-21,22:00:00,1,BHcvLfOaCWvWTykYqHVe,cpc,,,,desktop,,,,834x1112,Safari,Russia,Domodedovo
9055795561498027164.1638278300.1638278300,2108466709.1638278300,2021-11-30,16:18:20,1,MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,xhoenQgDQsgfEPYNPwKO,jpZoxCaowxXvglZVUJyq,desktop,Windows,,,1680x1050,Chrome,Russia,Moscow
9055795780529779605.1626698645.1626698645,2108466760.1626698645,2021-07-19,15:00:00,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,desktop,,,,1920x1080,Chrome,Russia,Yoshkar-Ola
9055828499604647383.1640705496.1640705496,2108474378.1640705495,2021-12-28,18:31:36,1,vFcAhRxLfOWKhvxjELkx,organic,okTXSMadDkjvntEHzIjp,LLfCasrxQzJIyuldcuWy,aXQzDWsJuGXeBXexNHjc,mobile,Android,Samsung,,412x915,Samsung Internet,Russia,Saint Petersburg
9055833533305199413.1639586613.1639586613,2108475550.1639586613,2021-12-15,19:43:33,1,ZpYIoDJMcFzVoPFsHGJL,banner,TmThBvoCcwkCZZUWACYq,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,mobile,iOS,Apple,,375x667,Safari,Russia,Krasnoyarsk
9055834796008808950.1622811129.1622811129,2108475844.1622811126,2021-06-04,15:00:00,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,mobile,,(not set),,360x640,Chrome,Russia,Chelyabinsk
9055836346500322990.1631131310.1631131310,2108476205.1631131310,2021-09-08,23:00:00,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,desktop,,,,1440x900,Safari,Russia,Saint Petersburg
9055841972900818264.1624468901.1624468901,2108477515.1624468824,2021-06-23,20:00:00,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,,mobile,,Samsung,,412x846,Android Webview,Russia,Moscow
9055848638691110934.1625518111.1625518111,2108479067.1625518102,2021-07-05,23:00:00,1,MvfHsxITijuriZxsqZqt,cpm,FTjNLDyTrXaWYgZymFkV,dUuXlWzvmhDSyclWRhNP,,mobile,,BQ,,360x760,Chrome,Russia,Saint Petersburg
9055852053197020102.1632426951.1632426951,2108479862.1632426950,2021-09-23,22:00:00,1,RmEBuqrriAfAVsLQQmhk,cpc,kVOrIKZFrEYGvixPclal,JNHcPlZPxEMWDnRiyoBf,,mobile,,Samsung,,412x892,Samsung Internet,Russia,Moscow
9055852379613041733.1630934084.1630934084,2108479938.1630934085,2021-09-06,16:00:00,1,kjsLglQLzykiRbcDiGcD,cpc,XHNUiSKKGTEpSAlaVMFQ,JNHcPlZPxEMWDnRiyoBf,,desktop,,,,1280x720,Chrome,Russia,Krasnogorsk
9055852379613041733.1630934090.1630934090,2108479938.1630934085,2021-09-06,16:00:00,2,kjsLglQLzykiRbcDiGcD,cpc,,,,desktop,,,,1280x720,Chrome,Russia,Krasnogorsk
9055853019573035768.1640801016.1640801016,2108480087.1640801016,2021-12-29,21:03:36,1,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,desktop,Windows,,,1024x820,YaBrowser,Russia,Moscow
9055853019573035768.1640843475.1640843475,2108480087.1640801016,2021-12-30,08:51:15,2,fDLlAcSmythWSCVMvqvL,(none),LTuZkdKfxRGVceoWkVyg,JNHcPlZPxEMWDnRiyoBf,puhZPIYqKXeFPaUviSjo,desktop,Windows,,,1024x820,YaBrowser,Russia,Moscow
9055854235048483932.1640504414.1640504414,2108480370.1640504412,2021-12-26,10:40:14,1,IZEXUFLARCUMynmHNBGo,blogger_channel,foFTSdUvNqqkPzZvgiqt,DZYjhfIUfdqhfuTNUmjn,puhZPIYqKXeFPaUviSjo,mobile,Android,Samsung,,412x869,Chrome,Russia,Moscow
9055856575798829429.1633673589.1633673589,2108480915.1633673589,2021-10-08,09:00:00,1,ZpYIoDJMcFzVoPFsHGJL,banner,gecBYcKZCPMcVYdSSzKP,JNHcPlZPxEMWDnRiyoBf,,mobile,,Apple,,390x844,Safari,Russia,Krasnodar
9055856575798829429.1633782847.1633782847,2108480915.1633673589,2021-10-09,15:00:00,2,ZpYIoDJMcFzVoPFsHGJL,banner,SgIUDYUKnyWHVowUOqid,JNHcPlZPxEMWDnRiyoBf,,mobile,,Apple,,390x844,Safari,Russia,Krasnodar
9055856575798829429.1633783120.1633783120,2108480915.1633673589,2021-10-09,15:00:00,3,ZpYIoDJMcFzVoPFsHGJL,banner,LEoPHuyFvzoNfnzGgfcd,JNHcPlZPxEMWDnRiyoBf,,mobile,,Apple,,390x844,Safari,Russia,Krasnodar
